严重性	代码	说明	项目	文件	行	抑制状态
消息(活动)	IDE0270	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\CardTemplates.cs	129	
消息(活动)	IDE0270	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\CardTemplates.cs	155	
消息(活动)	IDE0270	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\CardTemplates.cs	178	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\CardTemplates.cs	204	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\CardTemplates.cs	205	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\CardTemplates.cs	211	
消息(活动)	IDE0270	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\CardTemplates.cs	273	
消息(活动)	IDE0270	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\CardTemplates.cs	277	
消息(活动)	IDE0270	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\CardTemplates.cs	315	
消息(活动)	IDE0270	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\CardTemplates.cs	330	
消息(活动)	IDE0270	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\CardTemplates.cs	337	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelPages.cs	16	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelPages.cs	25	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelProvider.cs	140	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelState.cs	380	
